skill,num_postings,pct_postings,num_occurence,pct_occurence
variety,6,0.0101,1,1e-4
oracle,6,0.0101,38,0.0046
working knowledge,6,0.0101,1,1e-4
senior,6,0.0101,11,0.0013
matplotlib,6,0.0101,45,0.0054
machine learning techniques,6,0.0101,13,0.0016
intelligence,6,0.0101,44,0.0053
passion,6,0.0101,1,1e-4
economic,6,0.0101,47,0.0057
unstructured,6,0.0101,19,0.0023
data scientist,6,0.0101,25,0.003
clear,6,0.0101,17,0.0021
improve,6,0.0101,12,0.0015
actionable,6,0.0101,12,0.0015
visualizations,6,0.0101,22,0.0027
organization,6,0.0101,23,0.0028
way,6,0.0101,8,0.001
ml model,6,0.0101,9,0.0011
platform,6,0.0101,31,0.0038
plan,6,0.0101,22,0.0027
comfortable,6,0.0101,7,8e-4
task,6,0.0101,44,0.0053
text,6,0.0101,24,0.0029
public,6,0.0101,39,0.0047
document,6,0.0101,36,0.0044
query,6,0.0101,27,0.0033
oop,6,0.0101,29,0.0035
lake,6,0.0101,39,0.0047
independent,6,0.0101,13,0.0016
programming skills,5,0.0084,26,0.0031
hadoop,5,0.0084,27,0.0033
economics,5,0.0084,45,0.0054
strategies,5,0.0084,15,0.0018
ideas,5,0.0084,9,0.0011
levels,5,0.0084,8,0.001
decisions,5,0.0084,12,0.0015
audiences,5,0.0084,3,4e-4
technical audiences,5,0.0084,2,2e-4
non technical audiences,5,0.0084,1,1e-4
paced,5,0.0084,15,0.0018
fast paced,5,0.0084,7,8e-4
paced environment,5,0.0084,13,0.0016
fast paced environment,5,0.0084,6,7e-4
degree preferred,5,0.0084,4,5e-4
driven,5,0.0084,16,0.0019
needs,5,0.0084,34,0.0041
innovation,5,0.0084,8,0.001
impact,5,0.0084,7,8e-4
real,5,0.0084,13,0.0016
logical,5,0.0084,10,0.0012
relationship,5,0.0084,17,0.0021
large scale,5,0.0084,23,0.0028
extensive,5,0.0084,13,0.0016
google cloud,5,0.0084,29,0.0035
unit,5,0.0084,19,0.0023
10,5,0.0084,5,6e-4
track record,5,0.0084,3,4e-4
deploying,5,0.0084,16,0.0019
random,5,0.0084,84,0.0102
random forest,5,0.0084,65,0.0079
positive,5,0.0084,12,0.0015
trees,5,0.0084,40,0.0048
attention,5,0.0084,4,5e-4
detailed,5,0.0084,23,0.0028
excellent written,5,0.0084,4,5e-4
analyses,5,0.0084,18,0.0022
visualization tools,5,0.0084,14,0.0017
excellent communication skills,5,0.0084,1,1e-4
experience leading,5,0.0084,10,0.0012
like,5,0.0084,48,0.0058
3 5,5,0.0084,4,5e-4
3 5 years,5,0.0084,3,4e-4
predictive analytics,5,0.0084,11,0.0013
complex data,5,0.0084,11,0.0013
7,5,0.0084,5,6e-4
7 years,5,0.0084,3,4e-4
classification,5,0.0084,85,0.0103
cloud environment,5,0.0084,10,0.0012
common,5,0.0084,21,0.0025
clean,5,0.0084,57,0.0069
modern,5,0.0084,16,0.0019
uses,5,0.0084,35,0.0042
students,5,0.0084,4,5e-4
social,5,0.0084,35,0.0042
assist,5,0.0084,5,6e-4
ml models,5,0.0084,6,7e-4
data pipelines,5,0.0084,12,0.0015
managing,5,0.0084,14,0.0017
media,5,0.0084,17,0.0021
who,5,0.0084,40,0.0048
container,5,0.0084,23,0.0028
post,5,0.0084,28,0.0034
resource,5,0.0084,27,0.0033
science engineering,4,0.0067,20,0.0024
finance,4,0.0067,27,0.0033
model development,4,0.0067,26,0.0031
requirement,4,0.0067,6,7e-4
forecasting,4,0.0067,39,0.0047
logistic,4,0.0067,76,0.0092
modeling techniques,4,0.0067,21,0.0025
logistic regression,4,0.0067,64,0.0078
issues,4,0.0067,12,0.0015
experience developing,4,0.0067,6,7e-4
scientific,4,0.0067,24,0.0029
open,4,0.0067,24,0.0029
products,4,0.0067,36,0.0044
event,4,0.0067,21,0.0025
automation,4,0.0067,5,6e-4
open source,4,0.0067,17,0.0021
initiative,4,0.0067,29,0.0035
deliverable,4,0.0067,42,0.0051
excellent verbal,4,0.0067,1,1e-4
user,4,0.0067,26,0.0031
data driven,4,0.0067,6,7e-4
course,4,0.0067,5,6e-4
automate,4,0.0067,12,0.0015
implementation,4,0.0067,15,0.0018
look,4,0.0067,10,0.0012
synthesize,4,0.0067,8,0.001
key,4,0.0067,12,0.0015
partners,4,0.0067,11,0.0013
presenting,4,0.0067,9,0.0011
group,4,0.0067,10,0.0012
wide,4,0.0067,15,0.0018
java,4,0.0067,8,0.001
cloud environments,4,0.0067,7,8e-4
challenges,4,0.0067,9,0.0011
masters,4,0.0067,12,0.0015
science statistics,4,0.0067,32,0.0039
mathematical,4,0.0067,27,0.0033
standard,4,0.0067,8,0.001
professional,4,0.0067,11,0.0013
graph,4,0.0067,57,0.0069
tensorflow keras,4,0.0067,14,0.0017
bayes,4,0.0067,55,0.0067
linear regression,4,0.0067,35,0.0042
decision tree,4,0.0067,55,0.0067
pandas numpy,4,0.0067,16,0.0019
data drive,4,0.0067,7,8e-4
clients,4,0.0067,7,8e-4
performing,4,0.0067,71,0.0086
best,4,0.0067,45,0.0054
best practices,4,0.0067,31,0.0038
scientists,4,0.0067,33,0.004
manager,4,0.0067,36,0.0044
quantitative discipline,4,0.0067,1,1e-4
work experience,4,0.0067,6,7e-4
relationships,4,0.0067,11,0.0013
hypothesis,4,0.0067,47,0.0057
